id	name	address	post_code	phone	url	directions
1	West Chiltington					
2	Addington Court					
3	Oaks Park Carshalton					
4	Gatton Manor	"Standon Lane,Ockley,Nr.Dorking,Surrey"	RH5 5PQ	01306 627555	www.gattonmanor.co.uk/golf.html	"From Dorking, south on the A24 in the direction of Horsham. Go past sign for Beare Green and continue to the large roundabout (Dukes Head Hotel on left) turn right onto the A29 (signposted Ockley, Bognor Regis). Continue through Ockley (approx 3 miles) and at the far end of Ockley village on the right hand side is a restaurant called 'Bryces -The Old School House', 200 yards past this turn right into Cat Hill Lane. Continue to follow the signs and you will turn left into Standon Lane. This is a narrow country lane, please travel at a slow pace and continue for approx 1 mile and you will find the main entrance to Gatton Manor on the right."
5	Rusper					
6	Wimbledon Common	"19 Camp Rd,Wimbledon Common"	SW19 4UW	020 8946 0294	www.wcgc.co.uk/	
7	Richmond Park					
9	Horton Park					
10	Hawthorne Hill					
11	Redhill & Reigate					
12	Hoebridge					
13	Hever					
14	Thorpeness					
15	Ashdown Forest					
16	Selsdon Park Hotel					
17	St.Mellion					
19	West Byfleet	"Sheerwater Road,West Byfleet,Surrey"	KT14 6AA	01932 346584	www.wbgc.co.uk/	"M25 to Junction 11 then follow A320 towards Woking. At third roundabout take A245 go along Woodham Lane and turn right into Sheerwater Road and West Byfleet Club is on the left before turning left into village. Alternatively take A3 then turn off for the  A245 (West Byfleet&Cobham exit). Follow A245 and go through West Byfleet village, turn right into Sheerwater Road and the Club is on the immediate left."
20	Stockley Park	"Stockley Park,Uxbridge,Middlesex"	UB11 1AQ	020 8813 5700	www.stockleyparkgolf.co.uk/	
21	Deauville					
22	St.Julien					
23	Lingfield Park	"Lingfield Road,Racecourse Road,Lingfield,Surrey"	RH7 6PQ	01342 830920	www.lingfield-racecourse.co.uk/golf-club.html	M25 to jct 6 then A22 towards East Grinstead follow signs for Lingfield or M23 and take exit for A264 towards East Grinstead then A22 to Lingfield
24	Coombe Wood					
25	Launceston					
26	Looe					
27	Wimbledon Park	Home Park Road	SW19 7HR	020 8946 1250	www.wpgc.co.uk/	
28	Malden	"Traps Lane,New Malden,Surrey"	KT3 4R	020 8942 0654	www.maldengolfclub.com/	
29	Pine Ridge	"Old Bisley Rd,Frimley,Camberley,Surrey"	GU16 9NX	01276 675444	www.pineridgegolf.co.uk/	"M3 to jct 3 then A322 for about 1 mile towards Guildford take the B311 at roundabout  for 2 miles, then turn left at sign for Pine Ridge on B3015, travel for 1 mile and turn right into Old Bisley Road"
30	Addington Palace					
31	Lanhydrock					
32	Dewstow					
34	Reigate Hill					
35	Silvermere	"Redhill Road,Cobham,Surrey"	KT11 1EF	01932 866894	www.silvermere-golf.co.uk	A3 to Cobham exit then A245 to Weybridge - turn left after traffic lights into Redhill Road
36	Moretonhampstead					
37	Wildwood	"Horsham Road,Alford,Nr Cranleigh,Surrey"	GU6 8JE	01403 753255		A3 to Guildford then 9 miles along A281 in direction of Horsham. Club on left hand-side of village of Alfold
38	Kingswood	"Sandy Lane,Kingswood,Tadworth"	KT20 6NE	01737 832188	www.kingswood-golf.co.uk	"A217 past Banstead, turn left on B2032 for Kingswood, over the railway and turn right at signpost for the golf club"
39	Laleham	"Laleham Reach,Chertsey,Surrey"	KT16 8RP	01932 564211	www.laleham-golf.co.uk/	From Junction 11 of M25 take the A320 to Thorpe Park. At the Thorpe Park roundabout take exit to Penton Marina and follow signs to Laleham Golf Club
40	Woodbury Park					
41	Milford	"Station Lane,Milford,Guildford,Surrey"	GU8 5HS	01483 419200	www.milfordgolf.co.uk/	"Five minutes from Guildford on the A3, A3100 to Enton, follow signs to Milford train station"
42	Vilamoura					
46	Oakhampton					
47	Merrist Wood	"Coombe Lane,Worplesdon,Guildford,Surrey"	GU3 3PE	01483 884045	www.merristwood-golfclub.co.uk/	FROM GUILDFORD ~ Follow A323 (Aldershot) signs and about 3 miles out of Guildford you reach a roundabout with black and white chevrons on it. Turn right into Holly Lane and Merrist Wood is on the left 100 yards from the roundabout
48	Ipswich					
49	Aldeburgh					
